AttributeId	Description
21	"O aspecto (orientação) da vertente da terra circundante ao local. A orientação influencia, por exemplo, a entrada de chuva, o regime de temperaturas, o risco de impacto do vento e o tipo de húmus formado em latitudes superiores. A orientação com a qual uma encosta se defronta é codificada como N para norte, E para o leste, S para sul e W para oeste. Por exemplo: SSW significa sul-sudoeste"".
22;""Uso da terra aplica-se ao uso corrente da terra, se agrícola ou não-agrícola, em que o solo está situado. O uso da terra tem grande influência sobre a direção e velocidade de formação do solo - seu registro aumenta consideravelmente o valor interpretativo dos dados do solo"".
23;Uma cultura é uma planta que é cultivada por seu valor econômico. Informações sobre os cultivos são importantes porque dão uma ideia da natureza dos distúrbios aos quais o solo é submetido como resultado de práticas de manejo da cultura, bem como das necessidades de nutricionais e de manejo do solo da cultura.
24;Qualquer evidência de atividade humana que possa ter afetado a paisagem ou as propriedades físicas e químicas do solo. A erosão é tratada separadamente.
25;""A vegetação é um fator dominante na formação do solo, pois é a principal fonte de matéria orgânica e devido ao seu importante papel na ciclagem de nutrientes e na hidrologia de um local. Não há um sistema uniforme aceito para a descrição da vegetação natural ou semi-natural. O tipo de vegetação pode ser descrito através de um sistema local, regional ou internacional. Um exemplo comum é a classificação da vegetação de acordo com a UNESCO (1973, veja o manual atualizado do SOTER ISRIC, 2005)."
26	Origem e natureza do material do qual o solo foi presumivelmente derivado. Existem basicamente dois grupos de material parental do qual o solo se forma: materiais não consolidados (principalmente sedimentos)  e materiais de intemperismo que repousam sobre a rocha dura da qual são originados. Há casos de transição, tais como materiais parcialmente consolidados e materiais de intemperismo que foram transportados, ou pela água, chamados aluvião (fluvial se transportados por cursos de água), ou pela gravidade, chamados colúvio. Há também materiais naturais do solo restaurados ou sedimentos, assim como materiais tecnogênicos. A fiabilidade da informação geológica e o conhecimento da litologia local irá determinar se uma definição geral ou específica do material parental pode ser dada. Para a rocha intemperizada, o código WE é informado primeiro, seguido pelo código do tipo de rocha. O código SA para saprólito é recomendado onde o material intemperizado in situ está completamente decomposto, é rico em argila, mas ainda mostra a estrutura de rocha. Depósitos aluviais e colúvio derivados de um único tipo de rocha podem ser especificados adiante conforme o respectivo tipo de rocha. Onde um material de origem sobrepõe outro, ambos são indicados. O material parental é codificado de acordo com o SOTER atualizado (ISRIC, 2005) com o menor nível hierárquico possível. Como o SOTER foi desenvolvido para trabalhar com mapas na escala de 1:1000000, era necessário não ter muitos tipos de rochas. A fim de ser capaz de trabalhar em escalas menores, alguns materiais adicionais de origem natural ou antropogênica estão incluídos. Para fins de identificação no campo, uma chave para os tipos de rocha mais importantes é fornecida abaixo da lista hierárquica estendida do SOTER.
27	A idade da paisagem é uma informação importante a partir da qual o período de duração possível da ocorrência de processos de formação de solo pode ser derivado. Uma vez que muitos solos são formados a partir de materiais pré-intemperizados ou transportados, ou podem ter sido derivado de um conjunto de materiais autóctones, fluviais e eólicos, muitas vezes é difícil obter informações precisas. No entanto, uma estimativa ajudará a interpretar os dados do solo e da interação entre os processos de formação do solo. Também pode indicar possíveis alterações climáticas durante a formação do solo.
28	Cobertura superficial de afloramentos de rocha. 
29	Distância entre afloramentos rochosos (isolados ou agrupamentos).
30	Cobertura da superfície com fragmentos grandes (incluindo aqueles parcialmente expostos).
31	Classe de tamanho dos fragmentos grandes na superfície, indicando a sua maior dimensão.
32	A erosão pode ser classificada como hídrica ou eólica, e inclui efeitos além do local, como a deposição. Uma terceira categoria principal são os movimentos de massa (deslizamentos de terra e fenômenos relacionados).
33	Uma estimativa da área total afetada pela erosão e deposição.
34	É difícil definir classes de grau de erosão que sejam igualmente adequadas para todos os solos e ambientes, e que também se ajustem os diversos tipos de erosão hídrica e eólica. Quatro classes são recomendadas, as quais podem ter que ser ainda definida adiante para cada tipo de combinação de erosão e deposição e ambiente específico.
35	O período de atividade de erosão acelerada ou deposição.
36	Espessura da crosta superficial.
37	Consistência da crosta superficial.
38	A largura (média, ou largura média e largura máxima) das fendas na superfície.
39	Profundidade das fendas superficiais.
40	A distância média entre fendas superficiais.
41	A ocorrência de sal na superfície descrita em termos de cobertura.
42	Espessura da cobertura de sal na superfície.
43	Percentagem de superfície coberta com areia esbranquiçada. A presença de grãos de areia esbranquiçada soltos na superfície é típica para certos solos e influencia o padrão de resposta espectral do solo e, por conseguinte, a imagem obtida por sensoriamento remoto.
44	A profundidade do limite superior de cada horizonte, em centímetros, medido a partir da superfície do solo em direção descendente (incluindo as coberturas orgânicas e minerais). Notações precisas em centímetros são usadas ​​onde os limites são abruptos ou claros. Arredondamentos (com aproximação de 5 cm) são inseridos onde os limites são graduais ou difusos, evitando a sugestão de níveis espúrios de acurácia. Para limites próximos dos limites diagnóstico, a profundidade é indicada como um valor médio para a zona de transição (por exemplo, se começar com 16 cm e termina em 23 cm, a profundidade deve ser de 19,5 centímetros).
45	A profundidade do limite inferior de cada horizonte, em centímetros, medido a partir da superfície do solo em direção descendente (incluindo as coberturas orgânicas e minerais). Notações precisas em centímetros são usadas ​​onde os limites são abruptos ou claros. Arredondamentos (com aproximação de 5 cm) são inseridos onde os limites são graduais ou difusos, evitando a sugestão de níveis espúrios de acurácia. Para limites próximos dos limites diagnóstico, a profundidade é indicada como um valor médio para a zona de transição (por exemplo, se começar com 16 cm e termina em 23 cm, a profundidade deve ser de 19,5 centímetros).
46	A distinção do limite refere-se à espessura da zona em que o limite do horizonte pode ser localizado sem estar em um dos horizontes adjacentes.
47	A topografia do limite indica a suavidade da variação da profundidade do limite.
48	Uma classe textural descreve classes de tamanho de partículas combinadas para o material de solo descrito.
49	Os limites das classes de abundância para grandes fragmentos de rocha e minerais (> 2 mm) correspondem com aqueles dos fragmentos superficiais grandes e nódulos minerais, e o limite de 40% coincide com o requisito para a fase esquelética. Fragmentos de rocha podem formar uma 'linha de pedra' dentro de um horizonte em vez de serem distribuídos regularmente.
50	Tamanho dos fragmentos de rocha.
51	Classificação de artefatos, pelo tamanho.
52	A forma geral ou grau de esfericidade dos fragmentos de rocha.
53	O estado de intemperismo dos fragmentos de rocha.
54	A natureza dos fragmentos de rocha é descrito, usando a mesma terminologia para a descrição do tipo de rocha ou material parental. Para fragmentos de minerais primários são utilizados outros códigos.
55	Na maioria das camadas orgânicos, a determinação da classe de textura não é possível. Mais valiosa é uma estimativa do grau de decomposição e de humificação da matéria orgânica. A cor e a percentagem de tecido vegetal reconhecível do material orgânico, tanto seco como úmido, podem ser utilizados para estimar o grau de decomposição.
56	No piso das floresta, especialmente em climas temperados e frios, a matéria orgânica é comumente acumulada em camadas orgânicas, mais ou menos decompostas, sob condições terrestres. Em solos ácidos e pobres em nutrientes minerais, o estoque de nutrientes das camadas orgânicas é de vital interesse para a cobertura vegetal. As três principais formas são húmus cru, 'moder' e 'mull'.
57	A cor da matriz de solo de cada horizonte é registada na condição seca usando as notações para o matiz, valor e croma, como dado nas Cartas de Cores do Solo de Munsell (Munsell, 1975).
58	A cor da matriz de solo de cada horizonte é registada na condição úmida usando as notações para o matiz, valor e croma, como dado nas Cartas de Cores do Solo de Munsell (Munsell, 1975).
59	A cor dos mosqueados é descrita em termos gerais, correspondendo às Cartas de Cores do Solo de Munsell.
60	A abundância de mosqueados, em termos de classes que indicam a percentagem da superfície exposta ocupada pelos mosqueados.
61	Classe de tamanho usada para indicar o diâmetro aproximado dos mosqueados individuais.
62	Contraste de cor entre os mosqueados e a matriz do solo.
63	O limite entre os mosqueados e a matriz é descrito como a espessura da zona em que a transição da cor pode ser localizada sem ser em ambos mosqueado ou matriz.
64	O potencial redox do solo é um parâmetro físico-químico importante, utilizado para caracterizar o estado de aeração do solo e a disponibilidade de alguns nutrientes. O potencial redox também é utilizado na classificação do WRB para classificar os solos redoximórficos.
65	As propriedades reductimórficas da matriz do solo refletem condições de permanente molhamento ou, pelo menos, reduzidas. Elas são expressas por cores neutras (branco a preto: Munsell N1 a N) ou azuladas a esverdeadas (Munsell 2,5Y, Y5, 5G, 5B). O padrão de cores, muitas vezes, muda em dentro de minutos a dias devido a processos de oxidação pela aeração.
66	Os carbonatos nos solos são, ou os resíduos do material parental, ou o resultado da neo-formação (carbonatos secundários). Este último se concentra, principalmente, na forma de cal mole pulverulento, revestimentos de peds, concreções, crostas de superfície ou subsolo, ou bancos duros. A presença de carbonato de cálcio (CaCO3) é estabelecida pela adição de algumas gotas de HCl 10% ao solo. O grau de efervescência do gás dióxido de carbono é indicativo da quantidade de carbonato de cálcio presente.
67	As formas de carbonatos secundários nos solos são diversas e são consideradas informativas para o diagnóstico da gênese do solos. As concentrações de carbonato macio são consideradas iluviais, e as concreções duras são geralmente creditadas à uma natureza hidrogenoide.
68	Gesso (CaSO4.2H2O) pode ser encontrado sob a forma de resíduos do material parental gipsítico ou novas feições formadas. Estes últimos são cristais pseudomiceliais de grande porte (individualizados, como ninhos, barbas ou revestimentos, ou como agrupamentos alongados de cristais fibrosos) ou acumulações pulverulentas soltas ou compactas. A última forma dá uma estrutura maciça e uma textura arenosa ao horizonte gípsico.
69	As formas de gesso secundário no solo são diversas e são consideradas como sendo informativas para o diagnóstico da gênese de solos.
70	A designação do horizonte do solo resume muitas observações da descrição do solo e dá uma impressão sobre os processos genéticos que formaram o solo sob observação. Os símbolos dos horizontes consistem em uma ou duas letras maiúsculas para o horizonte principal e letras minúsculas usadas como sufixos para distinções secundárias, com ou sem um sufixo numeral. Os horizontes principais e suas subdivisões representam camadas que mostram evidências de mudança e algumas camadas que não tenham sido alteradas. A maioria são horizontes genéticos do solo, exprimindo um julgamento qualitativo sobre o tipo de mudanças que ocorreram. Designações de distinções secundárias e das características dentro dos horizontes principais e camadas são baseados em características do perfil observáveis no campo e são aplicadas durante a descrição do solo no local. Letras minúsculas são usadas como sufixos para designar tipos específicos de horizontes principais e camadas, e outras feições. Horizontes ou camadas designadas por uma combinação única de símbolos alfabéticos podem ser subdivididos usando algarismos arábicos, que seguem todas as letras. Um horizonte identificado por uma única configuração de símbolos alfabéticos pode ser subdividido com base em características morfológicas evidentes, tais como a cor, a estrutura ou textura. Em solos minerais, algarismos arábicos são usados ​​como prefixos para indicar descontinuidades. Uma descontinuidade é uma mudança significativa na distribuição do tamanho de partículas ou na mineralogia que indica uma diferença no material a partir do qual os horizontes formaram ou uma diferença significativa na idade ou ambas, a menos que essa diferença de idade seja indicado pelo sufixo b.
71	Ao descrever o grau ou o desenvolvimento da estrutura, a primeira divisão é feita em solo apedal (ausência de estrutura do solo) e solo pedal (presença de estrutura do solo). No solo apedal ou sem estrutura, nenhum agregado é observáveis in situ e não há uma arranjo definido das superfícies naturais de fraqueza. Solos sem estrutura são subdivididos em grão simples e maciço. O material do solo em grão simples tem uma consistência solta ou muito friável e consiste na ruptura de mais de 50% de partículas minerais discretas. O material do solo maciço normalmente tem uma consistência mais forte e é mais coerente frente a ruptura. O material do solo maciço pode ser ainda definido conforme a consistência e a porosidade.
72	A estrutura do solo refere-se à organização natural das partículas do solo em unidades de solo discretas (agregados ou peds) que resultam de processos pedogenéticos. Os agregados são separados entre si por poros ou vazios. O tipo de estrutura refere-se aos tipos naturais básicos de estrutura. Casos especiais ou combinações de estruturas podem ser distinguidos, os quais são subdivisões das estruturas básicas.
73	As classes de tamanho variam com o tipo de estrutura. Para prismática, colunar e estruturas laminares, as classes de tamanho referem-se às medidas da menor dimensão do agregado.
74	Quando uma estrutura secundária está presente, a sua relação com a estrutura primária é descrita. Ambas as estruturas primária e secundária estrutura podem estar presentes (por exemplo, estruturas colunares e prismáticas). A estrutura primária pode quebrar em uma estrutura secundária (por exemplo, a estrutura prismática quebra-se em blocos angulares). A estrutura primária pode fundir-se a estrutura secundária (por exemplo,a estrutura laminar fundindo-se à prismática).
75	A consistência quando seco é determinada pela quebra de uma massa de solo seco ao ar entre o polegar e o dedo indicador ou na mão.
76	A consistência quando úmido é determinada pela tentativa de esmagar uma massa de material do solo úmido ou ligeiramente úmido.
77	A pegajosidade é a qualidade de adesão do material do solo a outros objetos, determinada observando a aderência do material do solo quando é pressionado entre o polegar e dedo indicador. A pegajosidade do solo depende da extensão em que a estrutura do solo é destruída e da quantidade de água presente. A determinação da pegajosidade deveria ser realizada sob condições padrão, em uma amostra de solo na qual a estrutura está completamente destruída e que contém água suficiente para expressar a sua plasticidade máxima.
78	A plasticidade é a capacidade que o material de solo tem de mudar de forma continuamente sob a influência de uma tensão aplicada e manter a forma comprimida após a remoção do estresse. É determinada trabalhando (esfregando as mãos para frente e para trás) o material do solo nas mãos até formar um fio de cerca de 3 mm de diâmetro. A plasticidade do solo depende da extensão em que a estrutura do solo é destruída e da quantidade de água presente. A determinação da plasticidade deveria ser realizada sob condições padrão, em uma amostra de solo na qual a estrutura está completamente destruída e que contém água suficiente para expressar a sua plasticidade máxima.
79	O estado de água do solo é o termo utilizado para a condição de umidade de um horizonte no momento em que o perfil é descrito. O estado de umidade pode ser estimado no campo.
80	A densidade do solo é definida como a massa de uma unidade de volume de solo seco (105°C). Este volume inclui ambos os sólidos e os poros e, assim, a densidade reflete a porosidade total. Pequenos valores de densidade (geralmente abaixo de 1,3 kg dm-3) geralmente indicam uma condição de solo poroso. A densidade do solo é um parâmetro importante para a descrição da qualidade do solo e da sua função no ecossistema. Elevados valores de densidade indicam um ambiente pior para o crescimento radicular, reduzida aeração e alterações indesejadas ​​na função hidrológica, tal como uma infiltração de água reduzida.
81	As classes areia, areia-franca e franco-arenosa são subdivididas de acordo com as proporções de areia muito grossa a grossa, média, fina e muito fina na fração areia. As proporções são calculadas a partir da distribuição de tamanho de partículas, tendo o total da fração areia como sendo 100%.
82	A classe textural é estimada no campo por simples testes de campo e sentindo os constituintes do solo (Tabela 25). Para isso, a amostra de solo deve estar em estado úmido a parcialmente molhado. Cascalho e outros constituintes > 2 mm devem ser removidos.
83	A porosidade é uma indicação do volume total de poros discerníveis com uma lente de mão de 10x, medida por área e registrada como a percentagem da superfície ocupada por poros.
84	 Existe uma grande variedade na forma e origem de vazios. Portanto, a ênfase é dada para estimar os vazios contínuos e alongados.
85	O diâmetro dos vazios alongados ou tubulares.
86	A abundância de poros alongados muito finos e finos como um grupo, e de poros médios e grandes como um outro grupo é registada como o número por unidade de área num decímetro quadrado.
87	Uma estimativa de quanto as faces dos ped ou agregados são cobertas. Critérios correspondentes devem ser aplicadas quando a característica cutânica está relacionada a outras superfícies (vazios, e fragmentos grosseiros) ou ocorre como lamelas.
88	Classificação do contraste dos revestimentos.
89	Para alguns revestimentos, a forma pode ser informativa sobre sua gênese. Por exemplo, os revestimentos de manganês e de ferro-manganês com forma dendroidal indicam que a sua formação é devida à infiltração pobre e às condições redutivas periódicas devido à água de percolação.
90	A localização dos revestimentos ou acumulação de argila. Para faces de pressão e slickensides, nenhum local é dado porque são, por definição, localizados em pedfaces.
91	Classificação da continuidade da cimentação/compactação.
92	Classificação da fábrica ou estrutura da camada cimentada ou compactada.
93	A natureza da cimentação ou compactação é descrita de acordo com o agente cimentante ou atividade compactante.
94	Classificação do grau de cimentação ou compactação.
95	Classificação da abundância de concentrações minerais, em volume.
96	Classificação dos tipos de concentrações minerais.
97	Classificação do tamanho das concentrações minerais.
98	Classificação da forma das concentrações minerais.
99	Classificação da dureza das concentrações minerais.
100	As concentrações minerais são descritas de acordo com a composição ou substância impregnante.
101	A cor dos nódulos (semelhante aos mosqueados).
102	Classificação da dimensão (diâmetro) das raízes.
103	Classificação da abundância de raízes.
104	Abundância de atividade biológica é registrada em termos gerais descritivos.
105	Tipo de feições biológicas.
106	Os limites das classes de abundância para artefatos correspondem com os dos grandes fragmentos superficiais e nódulos minerais, e o limite de 40% coincide com o requisito para a fase esquelética.
107	Classificação dos tipos de artefatos.
108	Classificação da dureza de artefatos.
109	O estado de intemperismo dos artefatos
110	A cor dos artefatos (semelhante aos mosqueados).
111	Subdivisões para geoformas complexas são aplicáveis, principalmente, para geoformas em nível (planas), em certa medida a geoformas onduladas e, no caso de montanhas, a planícies intermontanas. Com geoformas complexas, a geoforma saliente deve ser de pelo menos 25 m de altura (caso contrário, deve ser considerado meso-relevo), exceto para terras terraceadas, onde os terraços principais devem ter diferenças de elevação de pelo menos 10 m. Em algumas áreas, os terraços principais podem ser muito próximos uns dos outros - particularmente em direção a parte inferior da planície. Finalmente, os níveis mais antigos podem ser enterrados pela erosão superficial na encosta ('down wash'). Fonte: atualização do SOTER, ISRIC, 2005.
112	O número de referência da grade ('grid'), seja de acordo com a projeção Universal Transversa de Mercator (UTM) ou o sistema estabelecido localmente, pode ser lido diretamente do mapa topográfico.
113	O tipo de sal na superfície
114	A presença de qualquer cheiro forte, por horizonte. Nenhuma entrada implica ausência de odor.
115	Solos formados a partir de materiais vulcânicos jovens têm, frequentemente, propriedades ândicas: uma densidade do solo de 0,9 kg dm-3 ou menos, e uma consistência besuntada (devido ao elevado teor de alofana e/ou ferridrita). Horizontes superficiais com características ândicas são normalmente pretos devido ao elevado teor de húmus. Além disso, o material de solo com características ândicas pode apresentar tixotropia  e o material do solo, sob pressão ou por atrito, muda do estado sólido plástico para uma fase liquefeita, e volta para a condição sólida. Características ândicas podem ser identificadas no campo usando o teste de campo com pHNaF desenvolvido por Fieldes e Perrott (1966).
116	Em muitos materiais vulcânicos jovens, vidros vulcânicos, agregados vítreos e outros minerais primários revestidos com vidro ocorrem. Frações mais grosseiras podem ser verificados através de uma lente de mão de 10x. Frações mais finas podem ser verificadas pelo microscópio. Subsequentemente, registra-se a percentagem, em número de grãos, de vidro vulcânico, minerais primários revestidos com vidro, materiais vítreos, e agregados vítreos na fração de tamanho de partículas 0,02-2 mm.
117	A matéria orgânica refere-se a todos os materiais orgânicos de origem vegetal e animal decompostos, parcialmente decompostos e não decompostos. Em geral, é sinônimo de húmus, embora o último seja mais comumente usado para se referir-se à matéria orgânica bem decomposta chamada substâncias húmicas. O conteúdo de matéria orgânica de horizontes minerais pode ser estimado a partir da cor Munsell de um solo seco e/ou úmido, considerando-se a classe textural. Esta estimativa é baseada na suposição de que a cor do solo (valor) é devido a uma mistura de substâncias orgânicas escuras e minerais de cores claras. Este valor só fornece uma estimativa aproximada.
118	Solos costeiros ou desérticos podem ser especialmente enriquecidos com sais solúveis em água ou sais mais solúveis do que o gesso (CaSO4.2H2O,  log Ks = -4,85 a 25°C). O conteúdo de sal do solo pode ser estimado aproximadamente a partir da CE (em dS m-1 = mS cm-1) medida em uma pasta de solo saturada ou de uma suspensão mais diluída de solo em água (Richards, 1954). Convencionalmente, a CE é medida em laboratório no extrato de saturação (ECes). A maioria dos valores de classificação e dados sobre a sensibilidade das culturas ao sal refere-se a ECes.
119	A geoforma refere-se à forma da superfície da terra na área em que a observação do solo é feita. Ela é descrita em termos geomorfológicos, distinguindo-se em dois níveis. O nível mais elevado corresponde à abordagem SOTER (1990), utilizando apenas sete grandes geoformas que indicam o fisiografia geral da área. Se uma nomenclatura mais detalhada é necessária, outras denominações de geoformas podem ser aplicadas. As geoformas podem ser ainda subdivididas em elementos de terra constituintes.
120	O gradiente do declive, ou simplesmente declividade, refere-se à inclinação da terra circundante ao local. É medido utilizando um clinômetro apontado na direção da inclinação mais acentuada. Onde leituras com clinômetro não são possíveis, as estimativas de campo do gradiente do declive devem ser comparadas com gradientes calculados a partir de mapas de contornos (curvas de nível).As declividades em terreno quase plano são muitas vezes superestimadas. Em planícies abertas, declividades de 0,2% são geralmente bem visível. O registro adequado de pequenas variações de declividade é importante, especialmente para a erosão, irrigação e drenagem. O gradiente do declive é registrado entrando em uma das classes de declive (que pode necessitar modificação para se ajustar à topografia local).
121	"Materiais não consolidados (principalmente sedimentos), a partir do qual o solo foi, presumivelmente, derivado. Há também casos de transição com tipo de rocha do material parental, tais como materiais parcialmente consolidadas e materiais de intemperismo que tenham sido transportados ou coluvionados. A fiabilidade da informação geológica e o conhecimento da litologia local irá determinar se uma definição geral ou específica do material parental pode ser dada. O código SA para saprólito é recomendado onde o material intemperizado in situ está completamente decomposto, é rico em argila, mas ainda mostra a estrutura de rocha. Depósitos aluviais e colúvio derivados de um único tipo de rocha podem ser especificados adiante conforme o respectivo tipo de rocha. Onde um material de origem sobrepõe outro, ambos são indicados."""
122	A unidade de solo refere-se ao um sistema de classificação local ou a unidade de uma legenda da qual o perfil de solo é representativo.
123	A latitude do local, tão acurada quanto possível.
124	A longitude do local, tão acurada quanto possível.
128	A fase é um fator limitante relacionado às características da superfície ou do subsolo da terra. Elas não estão necessariamente relacionadas com a formação do solo e, geralmente, atravessam os limites das unidades de solos. Estas características podem formar uma restrição ao uso da terra. Fases, tal como definido na Legenda Revisada do Mapa de Solos do Mundo da FAO-Unesco de 1988.
129	A topografia refere-se às diferenças de elevação da superfície da terra em uma ampla escala. Ela é derivada do gradiente do declive mais representativo ou característico da área em torno do local.
130	O elemento de terra descreve a geomorfologia das imediações do local. Na maioria dos casos, os elementos de terra são subdivisões das geoformas. No entanto, dependendo da magnitude, a mesma feição geomorfológica pode ser descrita como uma geoforma ou como um elemento de terra, por exemplo, vale, depressão. As dimensões de um elemento de terra são, em geral, comparáveis às unidades de mapeamento de mapas em escalas de semi-detalhe (1:50000 ou maior). Em mapas na escala de reconhecimento (1:250000 ou menor), a unidade de mapeamento inclui, geralmente, mais do que um elemento de terra. Em associações de solo, a ocorrência de cada tipo de solo associado geralmente está relacionada com um único elemento de terra.
131	A micro-topografia refere-se a diferenças naturais ou artificiais de altura em curtas distâncias. Algumas das feições micro-topográficas mostram transições graduais às feições da superfície (afloramentos rochosos, grandes fragmentos superficiais, erosão, etc).
132	Relações solo-paisagem sequenciais chamam a atenção para os aspectos tridimensionais da unidade de solo. Informações sobre relações espaciais ou transições de solo sequenciais podem ser dadas. Movimentos laterais de água e variações laterais e transições em horizontes do solo podem ser descritas.
133	Estimativa da cobertura vegetal.
134	A profundidade efetiva do solo é definida como a profundidade do solo na qual o crescimento das raízes de ervas ou culturas é fortemente inibido. A profundidade efetiva do solo é governada por fatores como a presença de camadas cimentadas, tóxicas ou compactadas,  rocha sã,  ou camadas de cascalho inundadas. Uma elevada lâmina de água permanente também pode controlar a profundidade efetiva do solo, mas pode mudar após a drenagem.
