DomainValueId;Explanation
288;-em branco-
289;-em branco-
290;-em branco-
291;-em branco-
292;Gelisols e subordens Gelic e grandes grupos que têm uma temperatura média anual do solo de -4°C a -10°C.
293;"Solos com esse regime de temperatura têm uma temperatura média anual abaixo de 8°C, mas não têm permafrost (Gr. kryos, frio - solos muito frios).
;1. Em solos minerais, a temperatura média do solo no verão (junho, julho e agosto, no hemisfério norte, e dezembro, janeiro e fevereiro, no hemisfério sul), a uma profundidade de 50 cm da superfície do solo, ou até contato dênsico, lítico ou paralítico, aquele que for mais raso, é como se segue:
;a. Se o solo não está saturado com água durante parte do verão e
;  (1) Se não há um horizonte O: abaixo de 15°C ou
;  (2) Se há um horizonte O: abaixo de 8°C ou
;b. Se o solo está saturado com água durante alguma parte do verão e
;  (1) Se não há um horizonte O: abaixo de 13°C ou
;  (2) Se há um horizonte O ou um epipedon hístico: abaixo de 6°C.
;2. Em solos orgânicos, a temperatura média anual do solo é abaixo de 6°C. Solos cryico que têm um regime de umidade áquico comumente são atingidos pela geada. Solos isofrígidos também podem ter um regime de temperatura cryico. Alguns solos com materiais orgânicos na parte superior são exceções."
294;Um solo com um regime de temperatura frígido é mais quente no verão do que um solo com um regime cryico, mas sua temperatura média anual é inferior a 8°C e a diferença entre a temperatura média do solo nos três meses de verão e nos três meses de inverno é superior a 6°C, seja a uma profundidade de 50 cm da superfície do solo, ou a uma profundidade até o contato dênsico, lítico ou paralítico, o que for mais raso.
295;A temperatura média anual do solo é inferior a 8°C. A temperatura média do solo no verão e no inverno diferem por menos de 6°C a uma profundidade de 50 cm ou até o contato dênsico, lítico ou paralítico, o que for mais raso.
296;-em branco-
297;A temperatura média anual do solo é de 8°C ou superior, mas inferior a 15°C, e a diferença entre a temperatura média do solo no verão e no inverno é superior a 6°C, seja a uma profundidade de 50 cm da superfície do solo ou até o contato dênsico, lítico ou paralítico, o que for mais raso.
298;"A temperatura média anual do solo é de 8°C ou superior, mas inferior a 15°C.
;A temperatura média do solo no verão e no inverno diferem por menos do que 6°C a uma profundidade de 50 cm ou em um contato dênsico, lítico ou paralítico, o que for mais raso."
299;A temperatura média anual do solo é de 15°C ou superior, mas inferior a 22°C, e a diferença entre a temperatura média do solo no verão e no inverno é superior a 6°C, seja a uma profundidade de 50 cm da superfície do solo ou em um contato dênsico, lítico ou paralítico, o que for mais raso.
334;-em branco-
300;A temperatura média anual do solo é de 15°C ou superior, mas inferior a 22°C. A temperatura média do solo no verão e no inverno diferem por menos de 6°C, a uma profundidade de 50 cm ou em um contato dênsico, lítico ou paralítico, o que for mais raso.
301;A temperatura média anual do solo é de 22°C ou superior, e a diferença entre a temperatura média do solo no verão e no inverno é superior a 6°C, seja a uma profundidade de 50 cm da superfície do solo ou em um contato dênsico, lítico ou paralítico, o que for mais raso.
302;A temperatura média anual do solo é de 22°C ou superior. A temperatura média do solo no verão e no inverno diferem por menos de 6°C, a uma profundidade de 50 cm ou em um contato dênsico, lítico ou paralítico, o que for mais raso.
304;-em branco-
306;-em branco-
307;-em branco-
308;-em branco-
309;-em branco-
310;-em branco-
2238;-em branco-
311;Nenhum elemento ou detalhe essencial está faltando na descrição, amostragem ou análise. A fiabilidade da descrição e dos resultados analíticos permite a caracterização completa dos horizontes do solo até uma profundidade de 125 cm, ou mais, se requerido para classificação, ou até uma camada ou horizonte C ou R, a qual pode ser mais rasa.
312;Descrição de referência do perfil de solo, mas sem amostragem.
313;Nenhum elemento essencial está faltando na descrição, amostragem ou análise. O número de amostras coletadas é suficiente para caracterizar os principais horizontes do solo, mas pode não permitir a definição precisa de todos os suborizontes, especialmente em maior profundidade. A profundidade do perfil é de 80 cm ou mais, ou até uma camada ou horizonte C ou R, a qual pode ser mais rasa. Tradagem e amostragem adicional pode ser requerida para a classificação taxonômica em níveis mais baixos.
314;Descrição de rotina do perfil de solo, mas sem amostragem.
315;-em branco-
316;-em branco-
317;-em branco-
318;-em branco-
319;Alguns elementos relevantes estão faltando na descrição, um número insuficiente de amostras foi coletada, ou a confiança nos dados analíticos não permite uma completa caracterização do solo. Entretanto, a descrição é útil para objetivos específicos e fornece uma indicação satisfatória da natureza do solo em níveis mais altos da classificação taxonômica.
320;Descrição incompleta do perfil de solo, mas sem amostragem.
321;As tradagens não permitem uma descrição compreensiva do perfil do solo. As tradagens são feitas para observações de rotina do solo e identificação no mapeamento do solo, objetivo para o qual normalmente fornece indicações satisfatórias das características do solo. As amostras do solo podem ser coletadas através das tradagens.
322;Descrição do perfil de solo através de tradagem, mas sem amostragem.
323;Elementos essenciais estão faltando na descrição, impedindo uma caracterização e classificação taxonômica satisfatória do solo.
324;-em branco-
325;-em branco-
326;-em branco-
327;-em branco-
328;Vários anos de cultivo agrícola são seguidos por vários anos de gramíneas e leguminosas utilizadas para a produção pecuária ("Ley system cultivation").
329;-em branco-
330;-em branco-
331;-em branco-
332;-em branco-
333;-em branco-
335;-em branco-
336;-em branco-
337;-em branco-
338;-em branco-
339;-em branco-
340;-em branco-
341;-em branco-
342;-em branco-
343;-em branco-
344;-em branco-
345;-em branco-
346;-em branco-
347;-em branco-
348;-em branco-
349;-em branco-
2239;-em branco-
350;-em branco-
351;-em branco-
352;-em branco-
353;-em branco-
354;-em branco-
355;-em branco-
356;A madeira é extraída de florestas naturais e florestas para fins comerciais.
357;-em branco-
358;-em branco-
359;-em branco-
360;-em branco-
361;-em branco-
362;-em branco-
363;-em branco-
364;-em branco-
365;-em branco-
366;-em branco-
367;-em branco-
368;-em branco-
369;-em branco-
370;-em branco-
371;-em branco-
372;-em branco-
373;-em branco-
374;-em branco-
375;-em branco-
376;-em branco-
377;-em branco-
378;-em branco-
379;-em branco-
380;-em branco-
381;-em branco-
382;-em branco-
383;-em branco-
384;-em branco-
385;-em branco-
386;-em branco-
387;-em branco-
388;-em branco-
389;-em branco-
390;-em branco-
391;-em branco-
392;-em branco-
393;-em branco-
394;-em branco-
395;-em branco-
396;-em branco-
397;-em branco-
398;-em branco-
399;-em branco-
400;-em branco-
401;-em branco-
402;-em branco-
403;-em branco-
404;-em branco-
405;-em branco-
406;-em branco-
407;-em branco-
408;-em branco-
409;-em branco-
410;-em branco-
411;-em branco-
412;-em branco-
413;-em branco-
414;-em branco-
415;-em branco-
416;-em branco-
417;-em branco-
418;-em branco-
419;-em branco-
420;-em branco-
421;-em branco-
422;-em branco-
423;-em branco-
424;-em branco-
425;-em branco-
426;-em branco-
427;-em branco-
428;-em branco-
429;-em branco-
430;-em branco-
431;-em branco-
432;-em branco-
433;-em branco-
434;-em branco-
435;-em branco-
436;-em branco-
437;-em branco-
438;-em branco-
439;-em branco-
440;-em branco-
441;-em branco-
442;-em branco-
443;-em branco-
444;-em branco-
445;-em branco-
446;-em branco-
447;-em branco-
448;-em branco-
449;-em branco-
450;-em branco-
451;-em branco-
452;-em branco-
453;Solos produzidos pelos agricultores nas planícies arenosas da Dinamarca, Alemanha, Bélgica e Países Baixos, através da aplicação de cama de curral feita de turfa ('plaggen') por longo prazo.
454;-em branco-
455;-em branco-
456;-em branco-
457;-em branco-
458;-em branco-
459;-em branco-
460;-em branco-
461;-em branco-
462;-em branco-
463;-em branco-
464;-em branco-
465;-em branco-
466;-em branco-
467;-em branco-
468;-em branco-
469;-em branco-
470;-em branco-
471;-em branco-
472;-em branco-
473;-em branco-
474;-em branco-
475;-em branco-
476;-em branco-
477;-em branco-
478;-em branco-
479;-em branco-
480;-em branco-
481;-em branco-
482;-em branco-
483;-em branco-
484;-em branco-
485;-em branco-
486;-em branco-
487;-em branco-
488;-em branco-
489;-em branco-
490;-em branco-
491;-em branco-
492;-em branco-
493;-em branco-
494;-em branco-
495;-em branco-
496;-em branco-
497;-em branco-
498;-em branco-
499;-em branco-
500;-em branco-
501;-em branco-
502;-em branco-
503;-em branco-
504;-em branco-
505;-em branco-
506;-em branco-
507;-em branco-
508;-em branco-
509;-em branco-
510;-em branco-
511;-em branco-
512;-em branco-
513;-em branco-
514;-em branco-
515;-em branco-
516;-em branco-
517;-em branco-
518;-em branco-
519;-em branco-
520;-em branco-
521;-em branco-
522;-em branco-
523;-em branco-
524;-em branco-
525;-em branco-
526;Alguma evidência de dano aos horizontes superficiais. Funções bióticas originais intactas em grande parte.
527;Clara evidência de remoção de horizontes superficiais. Funções bióticas originais parcialmente destruídas.
528;Horizontes superficiais completamente removidos e horizontes sub-superficiais expostos. Funções bióticas originais destruídas em grande parte.
529;Remoção substancial dos horizontes mais profundos do subsolo ('badlands'). Funções bióticas originais totalmente destruídas.
530;-em branco-
531;-em branco-
532;-em branco-
533;-em branco-
534;-em branco-
536;-em branco-
537;-em branco-
538;-em branco-
539;-em branco-
540;-em branco-
541;-em branco-
542;-em branco-
543;-em branco-
544;-em branco-
545;-em branco-
546;-em branco-
547;-em branco-
548;-em branco-
549;-em branco-
550;-em branco-
551;-em branco-
552;-em branco-
553;-em branco-
554;-em branco-
555;-em branco-
556;-em branco-
557;-em branco-
558;-em branco-
559;-em branco-
560;-em branco-
561;-em branco-
562;-em branco-
563;-em branco-
564;-em branco-
565;-em branco-
566;-em branco-
567;-em branco-
568;-em branco-
569;-em branco-
570;-em branco-
571;-em branco-
572;-em branco-
573;-em branco-
574;-em branco-
575;-em branco-
576;-em branco-
577;-em branco-
578;-em branco-
579;-em branco-
580;-em branco-
581;-em branco-
582;-em branco-
583;-em branco-
584;-em branco-
585;-em branco-
586;-em branco-
587;-em branco-
588;-em branco-
589;-em branco-
590;-em branco-
591;-em branco-
592;-em branco-
593;-em branco-
594;-em branco-
595;-em branco-
596;-em branco-
597;-em branco-
598;-em branco-
600;-em branco-
601;-em branco-
602;-em branco-
603;INCONSISTENTE COM TERRENO ONDULADO/MONTANHOSO
655;-em branco-
604;Gradiente < 10%, intensidade do relevo < 50 m/km, densidade potencial de drenagem de 0-25 píxeis receptores dentro de uma janela de 10 x 10 píxeis.
658;-em branco-
605;Gradiente < 10%, intensidade do relevo < 50 m/km, densidade potencial de drenagem de 0-25 píxeis receptores dentro de uma janela de 10 x 10 píxeis.
606;Gradiente < 10%, intensidade do relevo < 50 m/km, densidade potencial de drenagem de 0-25 píxeis receptores dentro de uma janela de 10 x 10 píxeis.
607;Gradiente < 10%, intensidade do relevo < 50 m/km, densidade potencial de drenagem de 16-25 píxeis receptores dentro de uma janela de 10 x 10 píxeis.
608;Gradiente < 10%, intensidade do relevo < 50 m/km, densidade potencial de drenagem de 6-15 píxeis receptores dentro de uma janela de 10 x 10 píxeis.
609;Gradiente de 10-30%, intensidade do relevo de 50-300 m/km, densidade potencial de drenagem de 0-15 píxeis receptores dentro de uma janela de 10 x 10 píxeis.
610;Gradiente de 10-30%, intensidade do relevo de 50-100 m/km, densidade potencial de drenagem < 6 píxeis receptores dentro de uma janela de 10 x 10 píxeis.
611;Gradiente de 10-30%, intensidade do relevo de 100-150 m/km, densidade potencial de drenagem de 0-15 píxeis receptores dentro de uma janela de 10 x 10 píxeis.
612;Gradiente de 15-30%, intensidade do relevo de 150-300 m/km, densidade potencial de drenagem de 0-15 píxeis receptores dentro de uma janela de 10 x 10 píxeis.
613;Gradiente de 10-30%, intensidade do relevo de 50-100 m/km, densidade potencial de drenagem de 0-15 píxeis receptores dentro de uma janela de 10 × 10 píxeis.
614;Gradiente de 10-30%, intensidade do relevo de 100-150 m/km, densidade potencial de drenagem de 6-15 píxeis receptores dentro de uma janela de 10 x 10 píxeis.
615;Gradiente > 30%, intensidade do relevo > 150 m/km, densidade potencial de drenagem de 0-15 píxeis receptores dentro de uma janela de 10 × 10 píxeis.
616;Gradiente > 30%, intensidade de relevo de 150-300 m/km, densidade potencial de drenagem < 6 píxeis receptores dentro de uma janela de 10 × 10 píxeis.
617;Gradiente > 30%, intensidade do relevo de 150-300 m/km, densidade potencial de drenagem de 0-15 píxeis receptores dentro de uma janela de 10 x 10 píxeis.
618;Gradiente > 30%, intensidade do relevo > 300 m/km, densidade potencial de drenagem de 0-15 píxeis receptores dentro de uma janela de 10 x 10 píxeis.
619;Gradiente > 30%, intensidade do relevo > 150 m/km, densidade potencial de drenagem de 6-15 píxeis receptores dentro de uma janela de 10 × 10 píxeis.
620;-em branco-
621;-em branco-
622;-em branco-
623;-em branco-
624;-em branco-
625;-em branco-
626;-em branco-
627;-em branco-
628;-em branco-
629;-em branco-
630;-em branco-
631;-em branco-
632;-em branco-
633;-em branco-
634;-em branco-
635;-em branco-
636;-em branco-
637;-em branco-
638;-em branco-
639;-em branco-
640;-em branco-
641;-em branco-
642;-em branco-
643;-em branco-
644;-em branco-
645;-em branco-
646;-em branco-
647;-em branco-
648;-em branco-
649;-em branco-
650;-em branco-
651;-em branco-
652;-em branco-
653;-em branco-
654;-em branco-
656;-em branco-
657;-em branco-
659;-em branco-
660;-em branco-
661;-em branco-
662;-em branco-
663;-em branco-
664;-em branco-
665;-em branco-
666;-em branco-
667;-em branco-
668;-em branco-
669;-em branco-
670;-em branco-
671;-em branco-
672;-em branco-
673;-em branco-
674;-em branco-
675;-em branco-
676;-em branco-
677;-em branco-
678;-em branco-
679;-em branco-
680;Fragmentos mostram poucos ou nenhum sinal de intemperismo.
681;Intemperismo parcial é indicado pela descoloração e perda da forma cristalina nas partes exteriores dos fragmentos, enquanto os centros mantém-se relativamente inalterados. Além disso, os fragmentos perderam um pouco da sua resistência inicial.
682;Todos os minerais estão intemperizados, inclusive os mais resistentes, fortemente descolorados e alterados em todas as partes dos fragmentos, que tendem a desintegrar-se sob pressão apenas moderada.
683;-em branco-
684;-em branco-
685;-em branco-
686;-em branco-
687;-em branco-
688;-em branco-
689;-em branco-
690;-em branco-
691;-em branco-
692;-em branco-
693;-em branco-
694;-em branco-
695;-em branco-
696;-em branco-
697;-em branco-
698;-em branco-
699;-em branco-
700;-em branco-
701;-em branco-
702;-em branco-
703;-em branco-
704;-em branco-
705;-em branco-
706;-em branco-
707;-em branco-
708;-em branco-
709;-em branco-
710;-em branco-
711;-em branco-
712;-em branco-
713;-em branco-
714;-em branco-
715;-em branco-
716;-em branco-
717;-em branco-
2251;-em branco-
718;-em branco-
719;-em branco-
720;-em branco-
721;-em branco-
722;-em branco-
723;-em branco-
724;-em branco-
725;-em branco-
726;-em branco-
727;-em branco-
728;-em branco-
729;-em branco-
730;-em branco-
731;-em branco-
732;-em branco-
733;-em branco-
734;-em branco-
735;-em branco-
736;-em branco-
737;-em branco-
738;-em branco-
739;-em branco-
740;"Atributos da turfa seca
- Cor: branca a bruno-claro
- Tecidos vegetais visíveis: apenas

Atributos da turfa molhada
- Vai entre os dedos, apertando na mão: ± clara, água
- Remanescente: não lamacento

Fonte: adaptado de Ad-hoc-AG-Boden, 2005 ".
741;Atributos da turfa seca
- Cor: bruno-escuro
- Tecidos vegetais visíveis: a maioria

Atributos de turfa molhada
- Vai entre os dedos, apertando na mão: marrom à barrenta, água
- Remanescente: não lamacento

Fonte: adaptado de Ad-hoc-AG-Boden, 2005 ".
742;-"Atributos da turfa seca
- Cor: bruno-escuro ao preto
- Tecidos vegetais visíveis: mais de 2/3

Atributos da turfa molhada
- Vai entre os dedos, apertando na mão: lama, enlameado
- Remanescente: lamacento

Fonte: adaptado de Ad-hoc-AG-Boden, 2005 ".
743;"Atributos da turfa seca
- Cor: bruno-escuro ao preto
- Tecidos vegetais visíveis: 1/3 a 2/3

Atributos da turfa molhada
- Vai entre os dedos, apertando na mão: 1/2 a 2/3, lama
- Remanescente: estrutura da planta mais visível do que antes

Fonte: adaptado de Ad-hoc-AG-Boden, 2005 ".
744;-em branco-
745;"Atributos da turfa seca
- Cor: bruno-escuro ao preto
- Tecidos vegetais visíveis: 1/6 a 1/3

Atributos da turfa molhada
- Vai entre os dedos, apertando na mão: mais ou menos toda, lama
- Remanescente: apenas remanescentes altamente decomponíveis

Fonte: adaptado de Ad-hoc-AG-Boden, 2005 ".
746;"Atributos da turfa seca
- Cor: bruno-escuro ao preto
- Tecidos vegetais visíveis: menos de 1/6

Atributos da turfa molhada
- Vai entre os dedos, apertando na mão: mais ou menos toda, lama
- Remanescente: ausência de remanescente

Fonte: adaptado de Ad-hoc-AG-Boden, 2005 ".
789;Os agregados são observáveis in situ e há um arranjo distinto das superfícies naturais de fraqueza. Quando perturbado, o material do solo esboroa-se numa mistura de muitos agregados inteiros, alguns agregados quebrados, e pouco material sem faces de agregado. As superfícies dos agregados geralmente mostram diferenças marcantes do interior dos agregados.
747;Acumulação de matéria orgânica normalmente espessa (5-30 cm), que é em grande parte inalterada devido à falta de decompositores. Este tipo de camada de matéria orgânica se desenvolve em solos extremamente pobres em nutrientes e com textura grossa sob vegetação que produz uma camada de serapilheira que é de difícil decomposição. Em geral, é uma sequência de camadas Oi-Oe-Oa sobre um pequeno horizonte A, sendo fácil de separar uma camada da outra, e muito ácido, com uma relação C/N > 29.
748;-em branco-
749;Mais decomposto do que o húmus em seu estado original (cru), mas caracterizado por uma camada de matéria orgânica sobre o solo mineral com uma transição difusa entre a camada de matéria orgânica e o horizonte A. Na sequência das camadas Oi-Oe-Oa camadas, é difícil de separar uma camada da outra. Essa camada de matéria orgânica se desenvolve em solos sob condições nutricionais moderadamente pobres, geralmente em clima frio e úmido. É geralmente acidificada, com uma relação C/N de 18-29.
750;Caracterizada pela ausência periódica de acumulação de matéria orgânica na superfície devido à rapidez do processo de decomposição e mistura da matéria orgânica e o material do solo mineral por bioturbação. É geralmente ligeiramente ácida a neutra, com uma relação C/N de 10-18.
751;-em branco-
752;-em branco-
753;-em branco-
754;-em branco-
755;-em branco-
756;-em branco-
757;-em branco-
758;-em branco-
759;-em branco-
2261;-em branco-
761;Os mosqueados são evidentes apenas através de exame minucioso. As cores do solo, tanto na matriz como nos mosqueados, possuem matiz, valores e cromas intimamente relacionados.
762;Embora não evidentes, os mosqueados são facilmente vistos. O matiz, o croma e o valor da matriz são facilmente distinguidas daqueles dos mosqueados. Eles podem variar em até 2,5 unidades de matiz ou várias unidades de croma ou valor.
763;Os mosqueados são evidentes e as manchas são uma das feições de destaque do horizonte. Matiz, croma e valor, isoladamente ou em combinação, são separados por pelo menos várias unidades.
764;-em branco-
765;-em branco-
766;-em branco-
767;Ausência de efervescência detectável visível ou audívelmente.
768;Efervescência audível, mas não visível.
769;Efervescência visível.
770;Forte efervescência visível. Bolhas formam uma espuma baixa.
771;Reação extremamente forte. Espuma espessa forma rapidamente.
772;-em branco-
773;-em branco-
774;-em branco-
775;-em branco-
776;Carbonatos na forma de pseudomicélio não são considerados como 'carbonatos secundários' se eles migram sazonalmente e não têm profundidade permanente.
777;-em branco-
778;-em branco-
779;EC = < 1,8 dS m-1 em 10 g solo/25 ml H2O, EC = < 0,18 dS m-1 em 10 g solo/250 ml H2O
780;EC = < 1,8 dS m-1 em 10 g solo/250 ml H2O
781;EC = > 1,8 dS m-1 em 10 g solo/250 ml H2O
782;Quantidades maiores podem ser diferenciadas pela abundância de pseudomicélio/cristais solúveis em H2O e pela cor do solo.
783;-em branco-
784;-em branco-
785;-em branco-
786;-em branco-
787;-em branco-
788;Os agregados mal são observáveis in situ e há apenas um arranjo pobre das superfícies naturais de fraqueza. Quando suavemente perturbado, o material do solo esboroa-se em uma mistura de alguns agregados inteiros, muitos agregados quebrados, e muito material sem faces de agregado. As superfícies dos agregados diferem, de alguma forma, do interior dos agregados.
