AttributeId	Name
199	surface organic matter
200	Classification version
201	National or local classification
202	Profile_ID
203	Profile database_ID
204	Lab_ID
205	FAO-Unesco soil taxonomic classification
206	Horizon number
207	Diagnostic horizon
208	Diagnostic property
209	Size of structure elements
210	Size of coarse fragments
211	Very coarse sand
212	Coarse sand
213	Medium sand
214	Fine sand
215	Very fine sand
216	Total sand
217	Silt
218	Infiltration rate
219	pH (H2O)
220	pH (KCl)
221	Electrical conductivity (ECe)
222	Soluble Na+
223	Soluble Ca++
224	Soluble Mg++
225	Soluble K+
226	Soluble Cl-
227	Soluble SO4--
228	Soluble HCO3-
229	Soluble CO3--
230	Exchangeable Ca++
231	Exchangeable Mg++
232	Exchangeable Na+
233	Exchangeable K+
234	Exchangeable Al+++
235	Exchangeable acidity
236	CEC soil
237	Total carbonate equivalent
238	Gypsum
239	Total carbon
240	Total nitrogen
241	P2O5 content.
242	Phosphate retention
243	Fe, dithionite extractable
244	Fe, pyrophosphate extractable
245	Al, dithionite extractable
246	Al, pyrophosphate extractable
247	Clay mineralogy
248	Terrain component data_id
249	Depth of soil
250	Phase (1974)
251	Reference soil group (WRB, 2006)
252	Edition (year) of USDA Soil Taxonomy
253	Climate
254	Parent material
255	Horizon designation
256	Organic carbon (generic)
257	Electrical conductivity (generic)
258	pH (H2O)
259	pH (KCl)
260	pH (CaCl2)
261	Exchangeable Acidity (H+ and Al+++)
262	Cation Exchange capacity (CEC)
263	Base saturation (as percentage of CEC)
264	Sand content (generic)
265	Silt content (generic)
266	Clay content (generic)
267	Coarse fragments content
268	Profile location status
269	Parent material / Parent rock
270	Mode of accumulation or deposition
271	Texture of parent material
272	Weathering status
273	Resistance to weathering
274	Run off
275	Nature of flood water
276	Quantity of pores
277	Continuity of pores
278	Total sand
279	Total sand
280	Silt
281	Silt
282	Clay
283	Clay
284	Multispec
