DomainValueId	Description
349	Nomadism
350	Semi-nomadism
351	Ranching
352	Intensive grazing
353	Animal production
354	Dairying
355	Forestry
356	Natural forest and woodland
357	Selective felling
358	Clear felling
359	Plantation forestry
360	Nature protection
361	Nature and game preservation
362	Reserves
363	Parks
364	Wildlife management
365	Degradation control
366	Without interference
367	With interference
368	Settlement, industry
369	Residential use
370	Industrial use
371	Transport
372	Recreational use
373	Excavations
374	Disposal sites
375	Military area
376	Other land uses
377	Maize (cereal)
378	Millet
379	Oats
380	Rice, paddy
381	Rice, dry
382	Rye
383	Sorghum
384	Wheat
385	Oilcrops
386	Coconuts
387	Groundnuts
388	Linseed
389	Olives
390	Oil-palm
391	Rape
392	Sesame
393	Soybeans
394	Sunflower
395	Fodder plants
396	Alfalfa
397	Clover
398	Grasses
399	Hay
400	Leguminous
401	Maize (fodder plant)
402	Pumpkins
403	Roots and tubers
404	Cassava
405	Potatoes
406	Sugar beets
407	Yams
408	Fruits and melons
409	Apples
410	Bananas
411	Citrus
412	Grapes, Wine, Raisins
413	Mangoes
414	Fibre crops
415	Cotton
416	Jute
417	Vegetables
418	Pulses
419	Beans
420	Lentils
421	Peas
422	Semi-luxury foods and tobacco
423	Cocoa
424	Coffee
425	Tea
426	Tobacco
427	Other crops
428	Sugar cane
429	Rubber
430	Palm (fibres, kernels)
431	No influence
432	Not known
433	Vegetation slightly disturbed
434	Vegetation moderately disturbed
435	Vegetation strongly disturbed
436	Vegetation disturbed (not specified)
437	Sprinkler irrigation
438	Furrow irrigation
439	Drip irrigation
440	Flood irrigation
441	Border irrigation
442	Irrigation (not specified)
443	Artificial drainage
444	Application of fertilizers
445	Landfill (also sanitary)
446	Levelling
447	Archaeological (burial mound, midden)
448	Impact crater
449	Bunding
450	Burning
451	Terracing
452	Ploughing
453	Plaggen
454	Dwarf shrub
455	Raised beds (agricultural purposes)
456	Raised beds (engineering purposes)
457	Sand additions
458	Mineral additions (not specified)
459	Organic additions (not specified)
460	Pollution
461	Clearing
462	Surface compaction
463	Scalped area
464	Borrow pit
465	Dump (not specified)
466	Mine (surface, including openpit, gravel and quarries)
467	Very young (1–10 years) natural: with loss by erosion or deposition of materials such as on tidal flats, of coastal dunes, in river valleys, landslides or desert areas.
468	Very young (1–10 years) anthropogeomorphic: with complete disturbance of natural surfaces (and soils) such as in urban, industrial and mining areas with very early soil development from fresh natural or technogenic or mixed materials.
469	Young (10–100 years) natural: with loss by erosion or deposition of materials such as on tidal flats, of coastal dunes, river valleys, landslides or desert areas.
470	Young (10–100 years) anthropogeomorphic: with complete disturbance of any natural surfaces (and soils) such as in urban, industrial and mining areas with early soil development from fresh natural, technogenic or a mixture of materials, or restriction of flooding by dykes.
471	Holocene (100–10 000 years) natural: with loss by erosion or deposition of materials such as on tidal flats, of coastal dunes, in river valleys, landslides or desert areas.
472	Holocene (100–10 000 years) anthropogeomorphic: human-made relief modifications, such as terracing of forming hills or walls by early civilizations or during the Middle Ages or earlier, restriction of flooding by dykes, or surface raising.
473	Late Pleistocene, ice covered, commonly recent soil formation on fresh materials.
474	Late Pleistocene, periglacial, commonly recent soil formation on preweathered materials.
475	Late Pleistocene, without periglacial influence.
476	Older Pleistocene, ice covered, commonly the recent soil formation on younger over older, preweathered materials.
477	Older Pleistocene, with periglacial influence, commonly the recent soil formation on younger over older, preweathered materials.
478	Older Pleistocene, without periglacial influence.
479	Deep (10-20 cm)
480	Tertiary land surfaces, commonly high planes, terraces or peneplains, except incised valleys, frequent occurrence of palaeosoils.
481	Older, pre-Tertiary land surfaces, commonly high planes, terraces or peneplains, except incised valleys, frequent occurrence of palaeosoils.
482	Straight
483	Concave
484	Convex
485	Terraced
486	Complex (Irregular)
487	None (0%)
488	Very few (0%-2%)
489	Few (2%-5%)
490	Common (5%-15%)
491	Many (15%-40%)
492	Abundant (40%-80%)
493	Dominant (> 80%)
494	> 50 m
495	20-50 m
496	5-20 m
497	2-5 m
498	< 2 m
499	Fine gravel (0.2-0.6 cm)
500	Medium gravel (0.6-2.0 cm)
501	Coarse gravel (2-6 cm)
502	Stones (6-20 cm)
503	Boulders (20-60 cm)
504	Large boulders (60-200 cm)
505	No evidence of erosion
506	Water erosion or deposition
507	Sheet erosion
508	Rill erosion
509	Gully erosion
510	Tunnel erosion
511	Deposition by water
512	Wind and water erosion
513	Mass movement (landslides and similar phenomena)
514	Not known
515	Wind (aeolian) erosion or deposition
516	Wind deposition
517	Wind erosion and deposition
518	Shifting sands
519	Salt deposition
520	0%
521	0%-5%
522	5%-10%
523	10%-25%
524	25%-50%
525	> 50%
526	Slight
527	Moderate
528	Severe
529	Extreme
530	Active at present
531	Active in recent past (previous 50-100 years)
532	Active in historical times
533	Period of activity not known
534	Accelerated and natural erosion not distinguished
535	None
536	Thin (< 2 mm)
537	Medium (2-5 mm)
538	Thick (5-20 mm)
539	Very thick (> 20 mm)
540	Slightly hard
541	Hard
542	Very hard
543	Extremely hard
544	Fine (< 1 cm)
545	Medium (1-2  cm)
546	Wide (2-5 mm)
547	Very wide (5-10 cm)
548	Extremely wide (> 10 cm)
549	Very closely spaced (< 0.2 m)
550	Closely space (0.2-0.5 m)
551	Moderately widely spaced (0.5-2.0 m)
552	Widely spaced (2-5 m)
553	Very widely spaced (> 5 m)
554	Surface (< 2 cm)
555	Medium (2-10 cm)
556	Very deep (> 20 cm)
557	None (0-2%)
558	Low (2-15%)
559	Moderate (15-40%)
560	High (40-80%)
561	Dominant (> 80%)
562	No vegetation
563	Grassland (grasses, subordinate forbs, no woody species)
564	Forbland (herbaceous plants predominant)
565	Savanna (grasses with a discontinuous layer of trees or shrubs))
566	Closed forest (continuous tree layer, crowns overlapping, large number of tree and shrub species in distinct layers)
567	Evergreen broad-leaved forest
568	Coniferous forest
569	Semi-deciduous forest
570	Deciduous forest
571	Xeromorphic forest
572	Woodland (continuous tree layer, crowns usually not touching, understorey may be present)
573	Evergreen woodland
574	Semi-deciduous woodland
575	Deciduous woodland
576	Xeromorphic woodland
577	Shrub
578	Evergreen shrub
579	Semi-deciduous shrub
580	Deciduous shrub
581	Xeromorphic shrub
582	Evergreen dwarf shrub
583	Semi-deciduous dwarf shrub
584	Deciduous dwarf shrub
585	Xermomorphic dwarf shrub
586	Tundra
587	Herbaceous
588	Tall grassland
589	Medium grassland
590	Short grassland
591	Forb
592	Rainwater-fed moor peat
593	Groundwater-fed bog peat
594	Crest (summit) in undulating to mountainous terrain
595	Upper slope (shoulder) in undulating to mountainous terrain
596	Middle slope (back slope) in undulating to mountainous terrain
597	Lower slope (foot slope) in undulating to mountainous terrain
598	Toe slope in undulating to mountainous terrain
600	Higher part (rise) in flat or almost flat terrain
601	Intermediate part (talf) in flat or almost flat terrain
602	lower part (and dip) in flat or almost flat terrain
603	Bottom (drainage line) in flat or almost flat terrain
604	Level land
605	Plain
606	Plateau
607	Depression
608	Valley floor
609	Sloping land
610	Medium-gradient escarpment zone
611	Medium-gradient hill
612	Medium-gradient mountain
613	Dissected plain
614	Medium-gradient valley
615	Steep land
616	High-gradient escarpment zone
617	High-gradient hill
618	High-gradient mountain
619	High-gradient valley
620	Abrupt (0-2 cm)
621	Clear (2-5 cm)
622	Gradual (5-15 cm)
623	Diffuse (> 15 cm)
624	Smooth; nearly plane surface
625	Wavy; pockets less deep than wide
626	Irregular; pockets more deep than wide
627	Broken; discontinuous
628	Sand (unspecified)
629	Loamy sand
630	Sandy loam
631	Sandy clay loam
632	Silt loam
633	Silty clay loam
634	Clay loam
635	Loam
636	Silt
637	Sandy clay
638	Silty clay
639	Clay
640	Heavy clay
641	Very fine sand
642	Fine sand
643	Medium sand
644	Coarse sand
645	Loamy very fine sand
646	Loamy fine sand
647	Loamy coarse sand
648	Fine sandy loam
649	Coarse sandy loam
650	None (0%)
651	Very few (0-2%)
652	Few (2-5%)
653	Common (5-15%)
654	Many (15-40%)
655	Abundant (40-80%)
656	Dominant (> 80%)
657	Stone line (any content, but concentrated at a distinct depth of a horizon)
658	Fine gravel (2-6 mm)
659	Fine and medium gravel 2-20 mm)
660	Medium gravel (6-20 mm)
661	Medium and coarse gravel (6-60 mm)
662	Coarse gravel (20-60 mm)
663	Coarse gravel and stones (20-200 mm)
664	Stones (60-200 mm)
665	Stones and boulders (60-600 mm)
666	Boulders (200-600 mm)
667	Boulders and large boulders (> 200 mm)
668	Large boulders (> 600 mm)
669	Very fine artefacts (< 2 mm)
670	Very fine and fine artefacts (< 6 mm)
671	Fine artefacts (2-6 mm)
672	Fine and medium artefacts (2-20 mm)
673	Medium artefacts (6-20 mm)
674	Medium and coarse artefacts (> 6 mm)
675	Coarse artefacts (> 20 mm)
676	Flat
677	Angular
678	Subrounded
679	Rounded
680	Fresh or slightly weathered
681	Weathered
682	Strongly weathered
683	Igneous rock
684	Acid igneous rock
685	Acid igneous rock: granite
686	Acid igneous rock: grano-diorite
687	Acid igneous rock: quartz-diorite
688	Acid igneous rock: rhyiolite
689	Intermediate igneous rock
690	Intermediate igneous rock: andesite, trachyte, phonolite
691	Intermediate igneous rock: diorite-syenite
692	Basic igneous rock
693	Intermediate igneous rock: gabbro
694	Intermediate igneous rock: basalt
695	Intermediate igneous rock: dolerite
696	Ultrabasic igneous rock
697	Ultrabasic igneous rock: peridotite
698	Ultrabasic igneous rock: pyroxenite
699	Ultrabasic igneous rock: ilmenite, magnetite, ironstone, serpentine
700	Metamorphic rock
701	Acid metamorphic rock
702	Acid metamorphic rock: quartzite
703	Acid metamorphic rock: gneiss, migmatite
704	Acid metamorphic rock: slate, phyllite, (pellitic rocks)
705	Acid metamorphic rock: schist
706	Basic metamorphic rock
707	Basic metamorphic rock: slate, phyllite (pelitic rocks)
708	Basic metamorphic rock: schist
709	Basic metamorphic rock: gneiss rich in ferro-magnesian minerals
710	Basic metamorphic rock: metamorphic limestone (marble)
711	Sedimentary rock
712	Clastic sediments
713	Clastic sediments: conglomerate, breccia
714	Clastic sediments: sandstone, greywacke, arkose
715	Clastic sediments: siltstone, mudstone, claystone
716	Clastic sediments: shale
717	Clastic sediments: ironstone
718	Sedimentary organic rock
719	Sedimentary organic rock: limestone, other carbonate rocks
720	Sedimentary organic rock: marl and other mixtures
721	Sedimentary organic rock: coals, bitumen & related rocks
722	Evaporites
723	Evaporites: anhydrite, gypsum
724	Evaporites: halite
725	Unconsolidated rock
726	Unconsolidated rock: fluvial
727	Unconsolidated rock: lacustrine
728	Unconsolidated rock: marine
729	Unconsolidated rock: colluvial
730	Unconsolidated rock: eolian
731	Unconsolidated rock: glacial
732	Unconsolidated rock: pyroclastic
733	Unconsolidated rock: organic
734	Primary mineral fragments: quartz
735	Primary mineral fragments: quartzite
736	Primary mineral fragments: chert
737	Primary mineral fragments: mica
738	Primary mineral fragments: feldspar
739	Primary mineral fragments: granite
740	Fibric, degree of decomposition/humification is very low
741	Fibric, degree of decomposition/humification is low
742	Fibric, degree of decomposition/humification is moderate
743	Hemic, degree of decomposition/humification is strong
744	Medium (2–5 mm)
745	Hemic, degree of decomposition/humification is moderately strong
746	Sapric, degree of decomposition/humification is very strong
747	Raw humus (aerpmorphic mor
748	Reddish brown
749	Moder (duff mull)
750	Mull
751	None (0%)
752	Very few (0-2%)
753	Few (2-5%)
754	Common (5-15%)
755	Many (15-40%)
756	Abundant (> 40%)
757	Very fine (< 2 mm)
758	Fine (2-6 mm)
759	Medium (6-20 mm)
760	Coarse (> 20 mm)
761	Faint
762	Distinct
763	Prominent
764	Sharp (< 0.5 mm)
765	Clear (0.5-2 mm)
766	Diffuse (> 2 mm)
767	Non-calcareous (0%)
768	Slightly calcareous (0–2%)
769	Moderately calcareous (2–10%)
770	Strongly calcareous (10–25%)
771	Extremely calcareous (> 25%)
772	Soft concretions
773	Hard concretions
774	Hard hollow concretions
775	Disperse powdery lime
776	Pseudomycelia (carbonate infillings in pores, resembling mycelia)
777	Marl layer
778	Hard cemented layer or layers of carbonates (less than 10 cm thick)
779	Non-gypsiric (0%)
780	Slightly gypsiric (0–5%)
781	Moderately gypsiric (5–15%)
782	Strongly gypsiric (15–60%)
783	Extremely gypsiric (> 60%)
784	Soft concretions
785	Disperse powdery gypsum
786	“Gazha” (clayey water-saturated layer with high gypsum content)
787	Hard cemented layer or layers of gypsum (less than 10 cm thick)
788	Weak
789	Moderate
790	Strong
791	Slightly hard
792	Hard
793	Very hard
794	Weak to moderate
795	Moderate to strong
802	Rock structure
803	Stratified structure
804	Single grain
805	Massive
806	Porous massive
807	Blocky
808	Angular blocky
809	Angular blocky (parallelepiped)
810	Angular and subangular blocky
811	Angular blocky (wedge-shaped)
812	Subangular and angular blocky
813	Subangular blocky
814	Nutty subangular blocky
815	Prismatic
816	Subangular prismatic
817	Wedge-shaped
818	Columnar
819	Granular
820	Worm casts
821	Platy
822	Cloddy
823	Crumbly
824	Lumpy
825	Very fine / thin
826	Fine/thin
827	Medium
828	Coarse / thick
829	Very coarse / thick
830	Extremely coarse
831	Very fine and fine
832	Very fine to medium
833	Fine and medium
834	Fine to coarse
835	Medium and coarse
836	Medium to very coarse
837	Coarse and very coarse
838	Loose
839	Soft
840	Extremely hard
841	soft to slightly hard
842	slightly hard to hard
843	hard to very hard
844	Loose
845	Very friable
846	Friable
847	Firm
848	Very firm
849	Extremely firm
850	very friable to friable
851	friable to firm
852	firm to very firm
853	Non-sticky
854	Slightly sticky
855	Sticky
856	Very sticky
857	slightly sticky to sticky
858	sticky to very sticky
859	Non-plastic
860	Slightly plastic
861	Plastic
862	Very plastic
863	slightly plastic to plastic
864	plastic to very plastic
865	Very dry
866	Dry
867	Slightly moist
868	Moist
869	Wet
870	Very wet
871	Soils fingers, is cohesive (sticky), is formable, has a high plasticity and has a shiny surface after squeezing between fingers.
872	Soils fingers, is non-sticky, only weakly formable, has a rough and ripped surface after squeezing between fingers and feels very floury (like talcum powder).
873	Cannot be formed, does not soil fingers and feels very grainy.
874	Very low (< 2%)
875	Low (2-5%)
876	Medium (5-15%)
877	High (15-40%)
878	Very high (> 40%)
879	Interstitial
880	Primary breaking to secondary structure
881	Both structures present
882	One structure merging into the other
883	Vesicular
884	Discontinuous
885	Vughs
886	Coarse (> 5 mm)
887	Channels
888	Planes
889	Very fine (< 0.5 mm)
890	Fine (0.5-2 mm)
891	Medium (2-5 mm)
892	Coarse (5-20 mm)
893	Very coarse (20-50 mm)
894	None
895	Very few
896	Few
897	Common
898	Many
899	Fine and medium (0.5-5 mm)
900	Fine and very fine (< 2 mm)
901	Medium and coarse (2-20 mm)
902	Faint
903	Distinct
904	Prominent
905	Clay
906	Sesquioxides
907	Humus
908	Clay and sesquioxides
909	Clay and humus (organic matter)
910	Calcium carbonate
911	Gibbsite
912	Hypodermic coatings
913	Jarosite
914	Manganese
915	Silica (opal)
916	Sand coatings
917	Silt coatings
918	Shiny faces (as in nitic horizon)
919	Pressure faces
920	Slickensides, predominantly intersecting
921	Slickensides, partly intersecting
922	Slickensides, non intersecting
923	Continuous
924	Continuous irregular (non-uniform, heterogeneous)
925	Discontinuous irregular
926	Dendroidal
927	Discontinuous circular
928	Other
929	Pedfaces
930	Vertical pedfaces
931	Horizontal pedfaces
932	Coarse fragments
933	Lamellae (clay bands)
934	Voids
935	Bridges between sand grains
936	No specific location
937	Broken
938	Continuous
939	Platy
940	Vesicular
941	Pisolithic
942	Nodular
943	Carbonates
944	Silica
945	Carbonates–silica
946	Iron
947	Iron–manganese (sesquioxides)
948	Iron–organic matter
949	Ice
950	Gypsum
951	Clay
952	Clay–sesquioxides
953	Mechanical
954	Ploughing
955	Not known
956	Non-cemented and non-compacted
957	Compacted but non-cemented
958	Weakly cemented
959	Moderately cemented
960	Cemented
961	Indurated
962	Crystal
963	Concretion
964	Soft concretion
965	Soft segregation (or soft accumulation)
966	Nodule
967	Pore infillings
968	Crack infillings
969	Residual rock fragment
970	Other
971	Very fine (< 2 mm)
972	Fine (2–6 mm)
973	Medium (6–20 mm)
974	 Coarse (> 20 mm)
975	Rounded (spherical)
976	Elongated
977	Flat
978	Irregular
979	Angular
980	Hard
981	Soft
982	Both hard and soft
983	Carbonates (calcareous)
984	Carbonates–silica
985	Clay (argillaceous)
986	Clay–sesquioxides
987	Gypsum (gypsiferous)
988	Salt (saline)
989	Gibbsite
990	Jarosite
991	Sulphur (sulphurous)
992	Silica (siliceous)
993	Iron (ferruginous)
994	Iron–manganese (sesquioxides)
995	Manganese (manganiferous)
996	Not known
997	White
998	Red
999	Reddish
1000	Yellowish red
1001	Brown
1002	Yellowish brown
1003	Yellow
1004	Reddish yellow
1005	Greenish, green
1006	Grey
1007	Greyish
1008	Blue
1009	Bluish-black
1010	Black
1011	Multicoloured
1012	Very fine (< 0.5 mm)
1013	Fine (0.5–2 mm)
1014	Very fine and fine (< 2 mm)
1015	Fine and medium (0.5–5 mm)
1016	Medium and coarse (> 2 mm)
1017	None
1018	Very few
1019	Few
1020	Common
1021	Many
1022	None
1023	Few
1024	Common
1025	Many
1026	Artefacts
1027	Burrows (unspecified)
1028	Open large burrows
1029	Infilled large burrows
1030	Charcoal
1031	Earthworm channels
1032	Pedotubules
1033	Termite or ant channels and nests
1034	Other insect activity
1035	Artesanal natural material
1036	Industrial dust
1037	Mixed material
1038	Organic garbage
1039	Pavements and paving stones
1040	Synthetic liquid
1041	Synthetic solid
1042	Waste liquid
1043	None
1044	Cuesta-shaped
1045	Ridged
1046	Inselberg covered (occupying > 1% of level land)
1047	With intermontane plains (occupying > 15%)
1048	With wetlands (occupying > 15%)
1049	Dome-shaped
1050	Terraced
1051	Dune-shaped
1052	Strong karst
1053	None
1054	Petrochemical
1055	Sulphurous
1056	Positive indication for andic characteristics
1057	No indication for andic characteristics
1058	Level land
1059	Plain (gradient < 8%, relief intensity < 100 m/km)
1060	Plateau (gradient < 8%, relief intensity < 100 m/km)
1061	Major depression (gradient > 8%)
1062	Depression (gradient < 8%, relief intensity < 100 m/km)
1063	Low-gradient footslope (gradient < 8%, relief intensity < 100 m/km)
1064	Valley floor (gradient < 8%, relief intensity < 100 m/km)
1065	Very low level (plain etc.): < 300 m for level lands and sloping lands with a relief intensity < 50 m/slope unit
1066	No visible evidence of erosion
1067	Sloping land
1068	Medium-gradient mountain (gradient 15-30%, relief intensity > 600 m/2 km)
1069	Medium-gradient hill (gradient 8-30%, relief intensity > 50 m/slope unit)
1070	Medium-gradient escarpment zone (gradient 15-30%, relief intensity < 600 m/2 km)
1071	Ridges (gradient 8-30%, relief intensity > 50 m/slope unit)
1072	Mountainous highland (gradient 15-30%, relief intensity > 600 m/2 km)
1073	Dissected plain (gradient 8-30%, relief intensity < 50 m/slope unit)
1074	Steep land
1075	High-gradient mountain (gradient > 30%, relief intensity > 600 m/2 km)
1076	High-gradient hill (gradient > 30%, relief intensity < 600 m/2 km)
1077	High-gradient escarpment zone (gradient > 30%, relief intensity > 600 m/2 km)
1078	High-gradient valleys (gradient > 30%)
1079	Land with composite landforms (gradient > 8%)
1080	Valley (gradient > 8%)
1081	Narrow plateau (gradient > 8%)
1082	Flat, wet, with a dominant slope of 0-2%. Wet is defined as < 90% permanent water surface > 50%  (simple landform).
1083	Flat, with a dominant slope of 0-2% (simple landform).
1084	Gently undulating, with a dominant slope of 0-2% (simple landform).
1085	Undulating, with a dominant slope of 5-8% (simple landform).
1086	Rolling, with a dominant slope of 8-15% (simple landform).
1087	Moderately steep, with a dominant slope of 15-30% (simple landform).
1088	Steep, with a dominant slope of 30-60% (simple landform).
1089	Very steep, with a dominant slope ≥ 60% (simple landform).
1090	Cuesta-shaped (complex landform).
1091	Dome-shaped (complex landform).
1092	Ridged (complex landform).
1093	Terraced (complex landform).
1094	Inselberg covered (Complex landform, covering at least 1% of level land).
1095	Dune-shaped (complex landform).
1096	With intermontane plains (Complex landform, occupying at least 15%).
1097	With wetlands (complex landform, occupying at least 15%).
1098	Strong karst (complex landform).
1099	Low level: 300-600 m for level lands and sloping lands with a relief intensity < 50 m/slope unit
1100	Medium level: 600-1500 m for level lands and sloping lands with a relief intensity < 50 m/slope unit
1101	High level: 1500-3000 m for level lands and sloping lands with a relief intensity < 50 m/slope unit
1102	Very high level: ≥ 3000 m for level lands and sloping lands with a relief intensity < 50 m/slope unit
1103	Low (hills etc.): < 200 m for sloping lands with a relief intensity > 50 m/slope unit
1104	Medium: 200-400 m for sloping lands with a relief intensity > 50 m/slope unit
1105	High: ≥ 400 m for sloping lands with a relief intensity > 50 m/slope unit
1106	Low (mountains etc.): 600-1500 m for steep and sloping lands with a relief intensity > 600 m/2 km
1107	Medium: 1500-3000 m for steep and sloping lands with a relief intensity > 600 m/2 km
